Positions of every atom, in reduced units, for every time step
-0.14, 2.21, -0.26
-0.26, 4.69, -1.85
2.44, 1.90, -2.33
2.87, 5.29, 0.12
5.12, 2.57, -0.15
4.89, 4.77, -2.66
-7.43, -7.52, 2.57
-7.21, -4.98, 4.84
-4.97, -7.78, 4.78
-5.02, -4.74, 2.49
-2.45, -7.18, 2.39
-2.57, -4.82, 5.18
0.06, -7.74, 5.28
0.25, -4.98, 2.62
2.56, -7.53, 2.37
2.12, -4.94, 4.98
5.10, -7.36, 4.74
4.86, -4.93, 2.32
-7.32, -2.56, 2.55
-7.28, -0.15, 5.28
-4.87, -2.49, 4.81
-5.03, 0.08, 2.36
-2.59, -2.18, 2.32
-2.68, -0.09, 4.92
0.28, -2.54, 4.73
-0.17, -0.27, 2.08
2.60, -2.66, 2.48
2.35, 0.43, 4.96
4.60, -2.33, 4.93
4.74, 0.08, 2.68
-7.43, 2.85, 2.70
-7.46, 4.75, 4.94
-4.58, 2.12, 4.88
-4.92, 4.69, 2.05
-2.77, 1.95, 2.72
-2.47, 4.69, 4.78
-0.01, 2.53, 5.25
0.17, 4.85, 2.40
2.37, 2.13, 2.73
2.40, 4.68, 4.86
4.77, 2.49, 4.98
5.18, 5.45, 2.32
 
-7.73, -7.40, -7.45
-7.63, -4.33, -4.79
-4.73, -7.47, -4.57
-5.21, -4.55, -7.20
-2.53, -7.51, -7.31
-2.33, -5.05, -5.05
0.15, -7.59, -4.93
-0.40, -4.67, -7.57
2.73, -7.36, -7.66
2.56, -4.84, -5.13
4.53, -7.70, -4.62
4.71, -5.22, -7.53
-7.75, -2.33, -7.49
-7.41, -0.06, -5.04
-4.99, -2.45, -4.85
-4.64, 0.07, -7.16
-2.08, -2.24, -7.59
-2.35, -0.05, -4.80
0.08, -2.50, -4.61
-0.08, -0.03, -7.57
2.44, -2.77, -7.58
2.74, -0.22, -4.98
5.23, -2.50, -4.88
4.80, 0.06, -7.38
-7.41, 2.31, -7.26
-7.06, 4.62, -5.08
-4.51, 2.27, -4.96
-4.90, 5.17, -7.62
-2.73, 2.38, -7.56
-2.59, 5.29, -4.45
0.17, 2.30, -4.90
0.15, 4.81, -7.41
2.61, 2.73, -7.37
2.07, 4.64, -5.02
5.09, 2.65, -4.87
5.13, 5.09, -7.31
-7.52, -7.32, -2.37
-7.11, -4.82, -0.02
-4.88, -7.83, -0.12
-4.76, -4.58, -2.50
-2.72, -7.57, -2.84
-2.12, -4.64, -0.24
0.32, -7.32, -0.09
-0.05, -5.08, -2.64
2.52, -7.27, -2.40
2.06, -4.67, -0.08
4.71, -7.03, 0.05
5.38, -5.17, -2.45
-7.61, -2.14, -2.42
-7.47, -0.00, 0.19
-4.76, -2.36, -0.01
-4.70, 0.43, -2.44
-2.55, -2.84, -2.04
-2.75, 0.04, 0.01
-0.01, -2.44, -0.10
0.11, 0.00, -2.70
2.44, -2.12, -2.09
2.34, -0.00, 0.11
5.26, -2.18, -0.13
4.73, 0.41, -2.78
-7.69, 2.53, -2.63
-7.45, 4.90, -0.06
-4.92, 2.44, 0.17
-4.77, 4.76, -2.31
-2.78, 2.73, -2.86
-2.43, 5.29, 0.17
-0.14, 2.21, -0.27
-0.27, 4.68, -1.83
2.44, 1.89, -2.33
2.88, 5.30, 0.12
5.13, 2.57, -0.15
4.89, 4.77, -2.67
-7.43, -7.52, 2.57
-7.21, -4.98, 4.84
-4.97, -7.79, 4.78
-5.03, -4.73, 2.49
-2.45, -7.18, 2.39
-2.58, -4.82, 5.19
0.06, -7.75, 5.29
0.25, -4.98, 2.63
2.56, -7.54, 2.37
2.11, -4.95, 4.98
5.10, -7.36, 4.74
4.85, -4.93, 2.31
-7.32, -2.56, 2.55
-7.28, -0.16, 5.29
-4.87, -2.49, 4.81
-5.03, 0.08, 2.36
-2.59, -2.18, 2.31
-2.68, -0.09, 4.92
0.29, -2.54, 4.73
-0.18, -0.28, 2.08
2.60, -2.66, 2.48
2.35, 0.44, 4.96
4.60, -2.32, 4.93
4.74, 0.08, 2.68
-7.43, 2.86, 2.71
-7.46, 4.74, 4.94
-4.57, 2.11, 4.88
-4.92, 4.69, 2.05
-2.77, 1.94, 2.73
-2.47, 4.69, 4.78
-0.01, 2.53, 5.26
0.17, 4.84, 2.40
2.37, 2.12, 2.73
2.39, 4.67, 4.86
4.76, 2.49, 4.98
5.18, 5.46, 2.32
 
-7.74, -7.40, -7.45
-7.64, -4.32, -4.79
-4.73, -7.48, -4.56
-5.22, -4.55, -7.19
-2.53, -7.51, -7.30
-2.33, -5.05, -5.05
0.15, -7.59, -4.93
-0.40, -4.67, -7.57
2.73, -7.36, -7.66
2.56, -4.83, -5.13
4.53, -7.71, -4.61
4.71, -5.23, -7.53
-7.76, -2.33, -7.49
-7.41, -0.07, -5.04
-4.99, -2.45, -4.85
-4.64, 0.07, -7.16
-2.07, -2.23, -7.60
-2.35, -0.05, -4.79
0.08, -2.50, -4.61
-0.08, -0.03, -7.58
2.44, -2.78, -7.59
2.75, -0.23, -4.99
5.24, -2.50, -4.88
4.80, 0.06, -7.38
-7.41, 2.31, -7.26
-7.05, 4.61, -5.08
-4.51, 2.26, -4.96
-4.90, 5.17, -7.63
-2.73, 2.38, -7.56
-2.59, 5.30, -4.44
0.17, 2.30, -4.90
0.15, 4.81, -7.41
2.61, 2.73, -7.37
2.06, 4.63, -5.02
5.09, 2.65, -4.87
5.13, 5.09, -7.31
-7.53, -7.31, -2.37
-7.11, -4.82, -0.02
-4.88, -7.84, -0.12
-4.76, -4.57, -2.50
-2.72, -7.58, -2.85
-2.12, -4.64, -0.24
0.33, -7.32, -0.10
-0.05, -5.08, -2.64
2.53, -7.27, -2.40
2.05, -4.66, -0.08
4.70, -7.02, 0.05
5.39, -5.17, -2.45
-7.62, -2.14, -2.42
-7.48, -0.00, 0.19
-4.75, -2.35, -0.01
-4.69, 0.44, -2.44
-2.55, -2.84, -2.03
-2.76, 0.04, 0.02
-0.01, -2.44, -0.11
0.11, 0.00, -2.71
2.44, -2.12, -2.08
2.33, -0.00, 0.11
5.27, -2.17, -0.13
4.73, 0.42, -2.78
-7.69, 2.53, -2.64
-7.45, 4.90, -0.06
-4.92, 2.44, 0.18
-4.77, 4.75, -2.31
-2.79, 2.74, -2.86
-2.43, 5.29, 0.18
-0.15, 2.20, -0.27
-0.27, 4.68, -1.82
2.44, 1.88, -2.33
2.89, 5.31, 0.12
5.13, 2.57, -0.16
4.89, 4.77, -2.67
-7.43, -7.53, 2.57
-7.20, -4.98, 4.84
-4.97, -7.80, 4.77
-5.03, -4.73, 2.49
-2.45, -7.17, 2.39
-2.58, -4.81, 5.19
0.06, -7.76, 5.30
0.26, -4.99, 2.63
2.57, -7.54, 2.37
2.10, -4.95, 4.98
5.11, -7.36, 4.73
4.85, -4.93, 2.31
-7.32, -2.57, 2.55
-7.28, -0.16, 5.29
-4.87, -2.49, 4.81
-5.04, 0.09, 2.36
-2.59, -2.17, 2.31
-2.68, -0.09, 4.92
0.29, -2.54, 4.72
-0.18, -0.28, 2.07
2.60, -2.66, 2.48
2.34, 0.45, 4.97
4.59, -2.32, 4.93
4.74, 0.09, 2.68
-7.43, 2.87, 2.71
-7.46, 4.74, 4.94
-4.57, 2.10, 4.88
-4.92, 4.68, 2.04
-2.78, 1.93, 2.73
-2.47, 4.68, 4.77
-0.01, 2.53, 5.26
0.18, 4.84, 2.40
2.37, 2.12, 2.74
2.39, 4.67, 4.86
4.76, 2.49, 4.98
5.19, 5.47, 2.31
 
-7.74, -7.40, -7.45
-7.64, -4.31, -4.78
-4.72, -7.48, -4.56
-5.22, -4.54, -7.19
-2.53, -7.52, -7.30
-2.33, -5.05, -5.05
0.16, -7.60, -4.93
-0.41, -4.66, -7.57
2.74, -7.36, -7.67
2.56, -4.83, -5.13
4.52, -7.71, -4.61
4.71, -5.24, -7.53
-7.77, -2.33, -7.49
-7.41, -0.07, -5.04
-4.99, -2.45, -4.84
-4.63, 0.07, -7.15
-2.06, -2.23, -7.60
-2.34, -0.05, -4.79
0.08, -2.50, -4.60
-0.09, -0.03, -7.58
2.44, -2.78, -7.59
2.75, -0.23, -4.99
5.24, -2.50, -4.87
4.80, 0.06, -7.38
-7.42, 2.30, -7.25
-7.05, 4.60, -5.09
-4.50, 2.26, -4.96
-4.90, 5.18, -7.63
-2.74, 2.37, -7.57
-2.59, 5.31, -4.43
0.17, 2.29, -4.90
0.15, 4.80, -7.41
2.61, 2.74, -7.37
2.05, 4.63, -5.02
5.09, 2.66, -4.87
5.13, 5.09, -7.31
-7.53, -7.31, -2.37
-7.10, -4.82, -0.02
-4.88, -7.85, -0.12
-4.75, -4.57, -2.50
-2.73, -7.58, -2.85
-2.11, -4.63, -0.25
0.33, -7.32, -0.10
-0.05, -5.09, -2.64
2.53, -7.27, -2.39
2.04, -4.66, -0.08
4.70, -7.02, 0.05
5.40, -5.17, -2.45
-7.62, -2.13, -2.42
-7.48, -0.00, 0.20
-4.75, -2.35, -0.01
-4.69, 0.45, -2.44
-2.55, -2.85, -2.02
-2.76, 0.04, 0.02
-0.01, -2.44, -0.11
0.11, 0.00, -2.71
2.44, -2.11, -2.07
2.33, -0.00, 0.12
5.27, -2.16, -0.14
4.72, 0.43, -2.79
-7.70, 2.53, -2.64
-7.45, 4.90, -0.06
-4.92, 2.44, 0.18
-4.76, 4.75, -2.31
-2.80, 2.75, -2.87
-2.43, 5.30, 0.18
-0.15, 2.20, -0.28
-0.28, 4.67, -1.81
2.44, 1.87, -2.32
2.90, 5.31, 0.13
5.13, 2.57, -0.16
4.88, 4.77, -2.67
-7.43, -7.53, 2.57
-7.20, -4.99, 4.84
-4.97, -7.80, 4.77
-5.03, -4.72, 2.49
-2.45, -7.17, 2.39
-2.58, -4.81, 5.20
0.06, -7.76, 5.30
0.26, -4.99, 2.63
2.57, -7.54, 2.37
2.10, -4.95, 4.98
5.11, -7.36, 4.73
4.85, -4.93, 2.31
-7.31, -2.57, 2.55
-7.27, -0.16, 5.30
-4.86, -2.49, 4.81
-5.04, 0.09, 2.35
-2.60, -2.17, 2.31
-2.69, -0.09, 4.92
0.30, -2.54, 4.72
-0.18, -0.29, 2.06
2.61, -2.67, 2.48
2.34, 0.46, 4.97
4.58, -2.32, 4.93
4.73, 0.09, 2.69
-7.44, 2.87, 2.72
-7.46, 4.73, 4.94
-4.56, 2.10, 4.88
-4.92, 4.68, 2.03
-2.79, 1.92, 2.74
-2.47, 4.68, 4.77
-0.01, 2.54, 5.27
0.18, 4.84, 2.40
2.37, 2.11, 2.74
2.39, 4.66, 4.85
4.76, 2.49, 4.98
5.19, 5.48, 2.31
 
-7.75, -7.40, -7.45
-7.65, -4.30, -4.78
-4.72, -7.48, -4.55
-5.23, -4.53, -7.18
-2.53, -7.52, -7.30
-2.32, -5.05, -5.05
0.16, -7.60, -4.93
-0.42, -4.66, -7.58
2.74, -7.36, -7.68
2.56, -4.83, -5.14
4.51, -7.72, -4.60
4.70, -5.24, -7.54
-7.77, -2.32, -7.49
-7.41, -0.07, -5.05
-4.99, -2.45, -4.84
-4.63, 0.07, -7.15
-2.05, -2.22, -7.60
-2.34, -0.05, -4.79
0.08, -2.50, -4.60
-0.09, -0.03, -7.58
2.44, -2.79, -7.60
2.76, -0.24, -4.99
5.25, -2.50, -4.87
4.79, 0.07, -7.38
-7.42, 2.30, -7.25
-7.04, 4.60, -5.09
-4.49, 2.25, -4.96
-4.90, 5.18, -7.64
-2.75, 2.37, -7.57
-2.59, 5.31, -4.42
0.18, 2.29, -4.90
0.16, 4.80, -7.41
2.61, 2.74, -7.36
2.05, 4.62, -5.03
5.10, 2.66, -4.86
5.14, 5.10, -7.31
-7.53, -7.31, -2.36
-7.10, -4.81, -0.02
-4.88, -7.86, -0.13
-4.75, -4.56, -2.50
-2.73, -7.58, -2.86
-2.10, -4.63, -0.25
0.34, -7.32, -0.10
-0.05, -5.09, -2.65
2.53, -7.27, -2.39
2.04, -4.65, -0.08
4.69, -7.01, 0.05
5.40, -5.18, -2.45
-7.62, -2.13, -2.42
-7.48, -0.00, 0.20
-4.75, -2.35, -0.01
-4.68, 0.46, -2.44
-2.56, -2.86, -2.01
-2.77, 0.04, 0.02
-0.01, -2.44, -0.11
0.11, 0.00, -2.72
2.44, -2.10, -2.07
2.33, -0.00, 0.12
5.28, -2.16, -0.14
4.72, 0.44, -2.80
-7.71, 2.53, -2.64
-7.46, 4.90, -0.06
-4.92, 2.44, 0.18
-4.76, 4.75, -2.30
-2.80, 2.75, -2.88
-2.43, 5.31, 0.18
-0.15, 2.19, -0.28
-0.28, 4.67, -1.80
2.44, 1.86, -2.32
2.91, 5.32, 0.13
5.14, 2.58, -0.16
4.88, 4.76, -2.68
-7.43, -7.53, 2.57
-7.20, -4.99, 4.84
-4.97, -7.81, 4.77
-5.03, -4.72, 2.49
-2.45, -7.16, 2.39
-2.58, -4.81, 5.21
0.06, -7.77, 5.31
0.27, -4.99, 2.64
2.57, -7.55, 2.36
2.09, -4.95, 4.98
5.12, -7.36, 4.73
4.85, -4.93, 2.30
-7.31, -2.57, 2.56
-7.27, -0.17, 5.31
-4.86, -2.49, 4.80
-5.04, 0.09, 2.35
-2.60, -2.16, 2.31
-2.69, -0.10, 4.92
0.30, -2.54, 4.72
-0.19, -0.30, 2.05
2.61, -2.67, 2.48
2.34, 0.47, 4.97
4.58, -2.32, 4.93
4.73, 0.09, 2.69
-7.44, 2.88, 2.72
-7.46, 4.73, 4.94
-4.55, 2.09, 4.88
-4.92, 4.67, 2.02
-2.79, 1.90, 2.74
-2.47, 4.67, 4.77
-0.01, 2.54, 5.28
0.18, 4.84, 2.40
2.37, 2.10, 2.75
2.39, 4.66, 4.85
4.76, 2.49, 4.98
5.20, 5.49, 2.31
 
-7.76, -7.40, -7.46
-7.65, -4.29, -4.78
-4.72, -7.48, -4.54
-5.23, -4.52, -7.18
-2.53, -7.52, -7.30
-2.32, -5.06, -5.06
0.16, -7.61, -4.93
-0.43, -4.65, -7.58
2.75, -7.36, -7.68
2.56, -4.83, -5.14
4.50, -7.73, -4.60
4.70, -5.25, -7.54
-7.78, -2.32, -7.50
-7.41, -0.07, -5.05
-4.99, -2.45, -4.84
-4.62, 0.07, -7.14
-2.05, -2.22, -7.61
-2.34, -0.05, -4.79
0.08, -2.50, -4.59
-0.09, -0.03, -7.59
2.44, -2.80, -7.60
2.76, -0.24, -4.99
5.26, -2.50, -4.87
4.79, 0.07, -7.38
-7.42, 2.30, -7.25
-7.03, 4.59, -5.09
-4.48, 2.25, -4.96
-4.90, 5.19, -7.64
-2.75, 2.37, -7.57
-2.60, 5.32, -4.41
0.18, 2.29, -4.90
0.16, 4.80, -7.41
2.62, 2.75, -7.36
2.04, 4.62, -5.03
5.10, 2.66, -4.86
5.14, 5.10, -7.31
-7.53, -7.31, -2.36
-7.09, -4.81, -0.03
-4.88, -7.87, -0.13
-4.75, -4.55, -2.50
-2.74, -7.59, -2.87
-2.10, -4.62, -0.26
0.35, -7.31, -0.10
-0.05, -5.09, -2.65
2.53, -7.26, -2.39
2.03, -4.65, -0.08
4.69, -7.00, 0.05
5.41, -5.18, -2.44
-7.63, -2.12, -2.42
-7.48, -0.00, 0.20
-4.74, -2.35, -0.01
-4.68, 0.47, -2.44
-2.56, -2.87, -2.00
-2.77, 0.04, 0.02
-0.01, -2.44, -0.11
0.11, 0.00, -2.72
2.44, -2.10, -2.06
2.33, -0.00, 0.12
5.29, -2.15, -0.14
4.71, 0.45, -2.80
-7.71, 2.53, -2.65
-7.46, 4.90, -0.06
-4.92, 2.44, 0.19
-4.76, 4.74, -2.30
-2.81, 2.76, -2.89
-2.43, 5.32, 0.19
-0.16, 2.19, -0.29
-0.29, 4.66, -1.78
2.44, 1.85, -2.32
2.91, 5.33, 0.13
5.14, 2.58, -0.16
4.88, 4.76, -2.68
-7.43, -7.53, 2.58
-7.19, -4.99, 4.83
-4.97, -7.82, 4.77
-5.03, -4.72, 2.49
-2.45, -7.16, 2.38
-2.59, -4.81, 5.21
0.06, -7.78, 5.32
0.27, -4.99, 2.64
2.57, -7.55, 2.36
2.08, -4.95, 4.98
5.12, -7.36, 4.72
4.85, -4.93, 2.30
-7.31, -2.57, 2.56
-7.27, -0.17, 5.31
-4.86, -2.49, 4.80
-5.04, 0.09, 2.35
-2.60, -2.15, 2.30
-2.70, -0.10, 4.92
0.31, -2.54, 4.71
-0.19, -0.30, 2.05
2.61, -2.67, 2.48
2.34, 0.47, 4.97
4.57, -2.31, 4.93
4.73, 0.09, 2.70
-7.44, 2.89, 2.73
-7.46, 4.73, 4.94
-4.54, 2.08, 4.88
-4.92, 4.67, 2.01
-2.80, 1.89, 2.75
-2.47, 4.67, 4.77
-0.01, 2.54, 5.28
0.19, 4.84, 2.39
2.36, 2.09, 2.75
2.39, 4.65, 4.85
4.75, 2.49, 4.98
5.20, 5.50, 2.31
 
-7.76, -7.40, -7.46
-7.66, -4.28, -4.78
-4.71, -7.48, -4.54
-5.24, -4.52, -7.18
-2.53, -7.52, -7.30
-2.32, -5.06, -5.06
0.17, -7.61, -4.93
-0.44, -4.65, -7.58
2.75, -7.36, -7.69
2.57, -4.83, -5.15
4.49, -7.73, -4.59
4.69, -5.25, -7.54
-7.79, -2.32, -7.50
-7.41, -0.07, -5.05
-4.99, -2.45, -4.84
-4.62, 0.08, -7.14
-2.04, -2.22, -7.61
-2.34, -0.05, -4.78
0.08, -2.50, -4.58
-0.09, -0.03, -7.59
2.44, -2.80, -7.60
2.77, -0.25, -4.99
5.26, -2.50, -4.87
4.79, 0.07, -7.38
-7.42, 2.30, -7.25
-7.03, 4.58, -5.10
-4.47, 2.25, -4.96
-4.89, 5.19, -7.64
-2.76, 2.37, -7.58
-2.60, 5.33, -4.41
0.18, 2.29, -4.90
0.16, 4.80, -7.41
2.62, 2.75, -7.36
2.03, 4.61, -5.03
5.10, 2.67, -4.86
5.14, 5.10, -7.31
-7.54, -7.31, -2.36
-7.09, -4.81, -0.03
-4.88, -7.88, -0.13
-4.74, -4.55, -2.50
-2.74, -7.59, -2.87
-2.09, -4.61, -0.26
0.35, -7.31, -0.10
-0.05, -5.10, -2.65
2.53, -7.26, -2.39
2.02, -4.64, -0.08
4.69, -6.99, 0.05
5.42, -5.19, -2.44
-7.63, -2.11, -2.42
-7.48, -0.00, 0.21
-4.74, -2.35, -0.01
-4.67, 0.48, -2.44
-2.56, -2.87, -2.00
-2.78, 0.04, 0.02
-0.01, -2.44, -0.11
0.12, 0.00, -2.73
2.44, -2.09, -2.05
2.32, -0.00, 0.12
5.29, -2.15, -0.14
4.71, 0.45, -2.81
-7.72, 2.53, -2.65
-7.46, 4.90, -0.07
-4.92, 2.44, 0.19
-4.75, 4.74, -2.30
-2.82, 2.76, -2.90
-2.43, 5.32, 0.19
-0.16, 2.18, -0.29
-0.30, 4.66, -1.77
2.44, 1.84, -2.31
2.92, 5.34, 0.13
5.15, 2.58, -0.17
4.88, 4.76, -2.69
-7.43, -7.54, 2.58
-7.19, -4.99, 4.83
-4.97, -7.83, 4.76
-5.04, -4.71, 2.50
-2.45, -7.15, 2.38
-2.59, -4.81, 5.22
0.06, -7.79, 5.32
0.28, -4.99, 2.64
2.57, -7.55, 2.36
2.08, -4.95, 4.98
5.12, -7.36, 4.72
4.85, -4.93, 2.30
-7.31, -2.57, 2.56
-7.27, -0.17, 5.32
-4.86, -2.49, 4.80
-5.05, 0.09, 2.35
-2.60, -2.15, 2.30
-2.70, -0.10, 4.92
0.31, -2.55, 4.71
-0.19, -0.31, 2.04
2.61, -2.68, 2.48
2.34, 0.48, 4.97
4.56, -2.31, 4.93
4.72, 0.09, 2.70
-7.44, 2.90, 2.73
-7.47, 4.72, 4.94
-4.54, 2.08, 4.88
-4.92, 4.66, 2.00
-2.80, 1.88, 2.75
-2.47, 4.66, 4.76
-0.01, 2.54, 5.29
0.19, 4.84, 2.39
2.36, 2.09, 2.76
2.39, 4.65, 4.85
4.75, 2.49, 4.98
5.21, 5.51, 2.30
 
-7.77, -7.40, -7.46
-7.66, -4.26, -4.77
-4.71, -7.49, -4.53
-5.24, -4.51, -7.17
-2.53, -7.53, -7.30
-2.32, -5.06, -5.06
0.17, -7.61, -4.93
-0.44, -4.64, -7.59
2.76, -7.36, -7.69
2.57, -4.83, -5.15
4.49, -7.74, -4.58
4.69, -5.26, -7.54
-7.79, -2.31, -7.50
-7.41, -0.07, -5.05
-5.00, -2.45, -4.84
-4.61, 0.08, -7.13
-2.03, -2.21, -7.62
-2.34, -0.05, -4.78
0.09, -2.50, -4.58
-0.09, -0.03, -7.59
2.44, -2.81, -7.61
2.78, -0.25, -4.99
5.27, -2.51, -4.87
4.79, 0.07, -7.38
-7.42, 2.29, -7.24
-7.02, 4.58, -5.10
-4.47, 2.24, -4.96
-4.89, 5.20, -7.65
-2.76, 2.37, -7.58
-2.60, 5.33, -4.40
0.19, 2.28, -4.90
0.16, 4.80, -7.41
2.62, 2.76, -7.36
2.02, 4.61, -5.03
5.11, 2.67, -4.86
5.15, 5.11, -7.30
-7.54, -7.31, -2.36
-7.08, -4.81, -0.03
-4.88, -7.89, -0.13
-4.74, -4.54, -2.50
-2.75, -7.59, -2.88
-2.08, -4.61, -0.27
0.36, -7.31, -0.11
-0.05, -5.10, -2.66
2.53, -7.26, -2.39
2.01, -4.64, -0.09
4.68, -6.99, 0.05
5.43, -5.19, -2.44
-7.64, -2.11, -2.42
-7.49, -0.00, 0.21
-4.74, -2.34, -0.01
-4.67, 0.49, -2.44
-2.56, -2.88, -1.99
-2.79, 0.04, 0.02
-0.01, -2.44, -0.12
0.12, 0.00, -2.73
2.44, -2.08, -2.04
2.32, -0.00, 0.13
5.30, -2.14, -0.15
4.71, 0.46, -2.82
-7.72, 2.53, -2.65
-7.46, 4.90, -0.07
-4.92, 2.43, 0.19
-4.75, 4.74, -2.30
-2.82, 2.77, -2.90
-2.43, 5.33, 0.19
-0.16, 2.18, -0.30
-0.30, 4.65, -1.76
2.44, 1.83, -2.31
2.93, 5.34, 0.14
5.15, 2.58, -0.17
4.88, 4.75, -2.69
-7.44, -7.54, 2.58
-7.18, -4.99, 4.83
-4.97, -7.83, 4.76
-5.04, -4.71, 2.50
-2.45, -7.15, 2.38
-2.59, -4.80, 5.22
0.06, -7.79, 5.33
0.28, -4.99, 2.64
2.57, -7.55, 2.36
2.07, -4.95, 4.98
5.13, -7.36, 4.72
4.85, -4.93, 2.30
-7.31, -2.58, 2.56
-7.27, -0.18, 5.33
-4.86, -2.50, 4.80
-5.05, 0.09, 2.35
-2.61, -2.14, 2.30
-2.71, -0.10, 4.92
0.32, -2.55, 4.70
-0.20, -0.31, 2.03
2.62, -2.68, 2.48
2.33, 0.49, 4.97
4.56, -2.31, 4.93
4.72, 0.09, 2.71
-7.44, 2.91, 2.74
-7.47, 4.72, 4.94
-4.53, 2.07, 4.88
-4.92, 4.66, 2.00
-2.81, 1.87, 2.76
-2.47, 4.66, 4.76
-0.01, 2.54, 5.30
0.19, 4.84, 2.39
2.36, 2.08, 2.76
2.39, 4.64, 4.85
4.75, 2.49, 4.98
5.21, 5.52, 2.30
 
-7.78, -7.40, -7.46
-7.67, -4.25, -4.77
-4.71, -7.49, -4.52
-5.25, -4.50, -7.17
-2.54, -7.53, -7.30
-2.31, -5.06, -5.06
0.17, -7.62, -4.93
-0.45, -4.64, -7.59
2.76, -7.36, -7.70
2.57, -4.82, -5.15
4.48, -7.74, -4.58
4.69, -5.27, -7.55
-7.80, -2.31, -7.50
-7.41, -0.07, -5.06
-5.00, -2.45, -4.84
-4.61, 0.08, -7.13
-2.02, -2.21, -7.62
-2.33, -0.05, -4.78
0.09, -2.50, -4.57
-0.09, -0.03, -7.60
2.44, -2.82, -7.61
2.78, -0.26, -4.99
5.27, -2.51, -4.87
4.78, 0.07, -7.38
-7.42, 2.29, -7.24
-7.01, 4.57, -5.10
-4.46, 2.24, -4.96
-4.89, 5.20, -7.65
-2.77, 2.37, -7.58
-2.60, 5.34, -4.39
0.19, 2.28, -4.90
0.17, 4.79, -7.41
2.63, 2.76, -7.36
2.02, 4.60, -5.03
5.11, 2.67, -4.86
5.15, 5.11, -7.30
-7.54, -7.31, -2.36
-7.08, -4.81, -0.03
-4.88, -7.90, -0.14
-4.74, -4.53, -2.50
-2.75, -7.60, -2.89
-2.08, -4.60, -0.27
0.36, -7.31, -0.11
-0.05, -5.10, -2.66
2.53, -7.26, -2.39
2.00, -4.63, -0.09
4.68, -6.98, 0.06
5.44, -5.20, -2.44
-7.64, -2.10, -2.42
-7.49, -0.00, 0.22
-4.73, -2.34, -0.01
-4.66, 0.49, -2.44
-2.56, -2.89, -1.98
-2.79, 0.04, 0.02
-0.01, -2.44, -0.12
0.12, 0.00, -2.74
2.44, -2.08, -2.04
2.32, -0.00, 0.13
5.31, -2.14, -0.15
4.70, 0.47, -2.82
-7.73, 2.53, -2.66
-7.46, 4.89, -0.07
-4.92, 2.43, 0.20
-4.75, 4.73, -2.29
-2.83, 2.77, -2.91
-2.43, 5.34, 0.20
-0.16, 2.17, -0.30
-0.31, 4.65, -1.75
2.44, 1.81, -2.31
2.94, 5.35, 0.14
5.15, 2.59, -0.17
4.88, 4.75, -2.69
-7.44, -7.54, 2.58
-7.18, -4.99, 4.83
-4.97, -7.84, 4.76
-5.04, -4.70, 2.50
-2.45, -7.15, 2.38
-2.59, -4.80, 5.23
0.07, -7.80, 5.34
0.29, -4.99, 2.65
2.58, -7.56, 2.36
2.06, -4.95, 4.99
5.13, -7.36, 4.71
4.84, -4.93, 2.29
-7.31, -2.58, 2.56
-7.26, -0.18, 5.34
-4.86, -2.50, 4.79
-5.05, 0.10, 2.34
-2.61, -2.14, 2.29
-2.71, -0.10, 4.92
0.33, -2.55, 4.70
-0.20, -0.32, 2.02
2.62, -2.69, 2.48
2.33, 0.50, 4.97
4.55, -2.31, 4.93
4.71, 0.10, 2.71
-7.44, 2.91, 2.74
-7.47, 4.72, 4.94
-4.52, 2.06, 4.87
-4.92, 4.65, 1.99
-2.82, 1.86, 2.77
-2.47, 4.65, 4.76
-0.01, 2.54, 5.30
0.20, 4.83, 2.39
2.36, 2.07, 2.77
2.38, 4.64, 4.85
4.74, 2.49, 4.98
5.22, 5.53, 2.30
 
-7.78, -7.40, -7.46
-7.67, -4.24, -4.77
-4.70, -7.49, -4.52
-5.26, -4.49, -7.17
-2.54, -7.53, -7.29
-2.31, -5.07, -5.07
0.17, -7.62, -4.93
-0.46, -4.63, -7.59
2.77, -7.36, -7.70
2.57, -4.82, -5.16
4.47, -7.75, -4.57
4.68, -5.27, -7.55
-7.81, -2.31, -7.50
-7.42, -0.07, -5.06
-5.00, -2.45, -4.83
-4.60, 0.08, -7.12
-2.02, -2.20, -7.62
-2.33, -0.06, -4.78
0.09, -2.50, -4.57
-0.09, -0.03, -7.60
2.44, -2.82, -7.61
2.79, -0.26, -4.99
5.28, -2.51, -4.87
4.78, 0.07, -7.38
-7.42, 2.29, -7.24
-7.01, 4.57, -5.10
-4.45, 2.23, -4.96
-4.89, 5.21, -7.66
-2.77, 2.36, -7.59
-2.60, 5.35, -4.38
0.19, 2.28, -4.90
0.17, 4.79, -7.41
2.63, 2.77, -7.36
2.01, 4.60, -5.03
5.11, 2.68, -4.86
5.16, 5.11, -7.30
-7.55, -7.30, -2.36
-7.07, -4.80, -0.03
-4.88, -7.91, -0.14
-4.73, -4.53, -2.50
-2.76, -7.60, -2.90
-2.07, -4.60, -0.27
0.37, -7.31, -0.11
-0.05, -5.10, -2.66
2.53, -7.25, -2.39
2.00, -4.63, -0.09
4.67, -6.97, 0.06
5.45, -5.20, -2.44
-7.65, -2.09, -2.42
-7.49, -0.00, 0.22
-4.73, -2.34, -0.01
-4.66, 0.50, -2.44
